BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
86525,5092,290895,147095,3479,7061,36396,1967,316883,208931
26849,955586,9485,28937,8754,121368,102766,770994,10890,6825
171864,959923,2023932,40427,306920,12797,42850,30284,361145,28280
51649,4728,71553,42765,2166,12797,94523,123326,140777,16246
469924,325117,37449,48445,1342662,12797,27192,420488,47654,89054
338794,47919,146227,50262,1342662,16349,1423091,174003,631451,40908
3344169,1591176,1122252,22149,20709,12797,111475,263361,9286,235925
33462,117875,39821,266762,63255,135886,188674,3360885,2391,49713
21502,241630,131592,70302,10863,20083,9416,28775,768095,49713
30251,2098,335,75099,133349,1965607,1281105,64594,70302,323072
218906,296846,181688,56816,44454,12650,13521,6901,34057,5977
6941,179748,103962,268161,919414,12797,74452,344650,9952,39180
12797,93190,61528,30799,307785,2779205,55740,349912,60789,187763
44067,223752,113618,123283,123497,4050,274184,201275,348098,26849
12921,10225,1744031,10597,98618,9155,143075,252123,40712,343
32765,363904,201125,10597,140419,12797,167023,129013,302136,919414
138263,259743,74832,7190,136109,30885,48145,25980,1244852,117792
38673,84526,1654,84662,47118,27032,67825,54634,1244852,49487
661946,43375,2023932,67822,26849,1511838,46043,152693,7430,98708
4664,19000,29513,76342,34314,25865,73528,97027,134732,80724
12797,8940,212706,28227,42077,31636,130568,139855,162,96551
1340722,113150,251763,980483,1985368,12975,94523,3360885,231964,450693
59302,82813,183873,234321,206057,46718,189800,3360885,180252,12163
135063,18831,398463,36198,335322,324560,180156,294275,123283,23558
1511838,122506,39746,128547,335322,27298,1485,15222,56816,60699
147745,180125,37120,24700,28885,26017,43375,17234,913427,129619
26077,43017,228643,374984,279308,32765,9070,770994,74737,335322
6515,170765,70534,111331,206057,26077,35088,1985368,495052,40198
62203,58532,3281358,153622,450693,2277647,58926,212625,32570,23052
2535,44113,10758,676,212625,30555,139966,73728,344024,335322
38824,623415,241472,353358,335322,853734,185827,294275,639365,47578
1236940,162104,130858,138778,247984,23054,400307,100783,637760,436057
3662,185827,116331,89585,57917,8779,27450,28598,11649,129619
179992,22817,99149,10621,262424,97332,84683,92471,1159008,206225
14284,84683,420414,80514,98618,39839,144893,93548,177752,335444
2779205,23180,156020,43516,206057,53136,786928,298162,35354,1113321
44047,47919,18081,215932,335322,324560,18185,13222,356344,48592
53604,93543,144562,262991,335322,13736,115610,3360885,19735,791842
13838,1591176,8141,294280,60882,10888,42037,133252,155580,13535
1161674,10789,41664,311424,1246,46368,136824,100783,73991,49741
707714,1693296,7309,139815,145132,2595,9070,1923,54368,206225
82145,6251,183873,4930,43879,324560,19593,131592,110245,13411
74610,20220,18081,83858,1518409,82145,31756,77023,22907,61638
243166,4654,8397,56816,53019,49873,44727,70184,46929,253875
746122,31756,141766,758251,1650801,2277647,175322,73498,834,49405
1340722,169454,15710,21334,16715,665445,650929,35656,261107,613981
23635,44727,505169,87980,165503,82145,43332,735792,45225,73432
1340722,340416,74832,37681,396556,27032,650929,15710,102025,68549
97332,44727,133809,24598,841034,338896,113150,497,11990,98618
62308,35572,238105,14261,45560,462466,140610,573374,758251,13411
51649,581544,174758,49452,3601,2277647,108298,13774,16845,152000
70949,2396097,2999843,53971,1286759,97379,1014199,12140,30210,5196
62203,363904,177807,77139,298420,27481,18554,17442,404103,141647
27353,2433,16654,21965,9015,2433,10094,59810,14978,141647
150572,1591176,16058,8047,88124,146697,85292,195286,264035,19050
77436,227873,9485,173426,919414,71251,22709,267694,51513,5779
146697,42850,69225,19946,224259,299345,49777,128676,127989,11924
146697,35499,398842,55701,32054,7353,47919,962871,25389,1348801
175491,71505,120422,52804,205397,1236940,6106,93190,1129,29261
175491,180125,40620,53763,60141,205397,8400,136824,878653,613981
14777,303911,238043,166449,765704,175491,242508,32630,20833,50846
175491,471672,7351185,343392,444586,82145,43375,29513,54787,1650801
116578,55085,148491,22522,367477,41770,16555,55503,134179,109022
13982,135274,87926,128480,102727,12139,66796,113556,54368,2166
57489,226502,500945,26431,208931,46951,10275,113556,3357,62521
52603,25897,82608,9694,336447,289324,1593061,22522,15740,27533
1454779,11390,45560,277416,1141266,18307,11389,22522,18495,53420
2035830,184660,7213,64319,197218,115516,1946624,113556,123644,182023
47809,358467,27989,44713,4639,567498,462401,174199,357705,17426
