BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
11,4,79,429,373,960,360,277,1018,483,434,895,283,218,984,1072,1013,988,3,2,19,175.0,78.0,816.0,196.0,153.0,526.0,354.0,270.0,1548.0
573,537,631,429,373,960,532,484,935,720,668,776,354,270,1548,200,135,1154,607,536,1189,337.0,285.0,977.0,145.0,107.0,716.0,786.0,715.0,1011.0
573,537,631,408,355,843,662,590,1059,361,318,724,565,473,1103,627,580,867,429,373,960,354.0,270.0,1548.0,284.0,232.0,691.0,294.0,227.0,891.0
124,88,381,918,853,1125,252,168,1402,579,525,819,570,497,1215,100,56,821,87,29,640,660.0,586.0,1263.0,794.0,734.0,997.0,576.0,506.0,1197.0
579,525,819,387,345,814,495,433,1047,544,466,966,786,714,1029,87,29,640,886,860,860,660.0,586.0,1263.0,239.0,180.0,905.0,716.0,663.0,803.0
593,543,730,204,143,754,698,643,1010,786,714,1029,147,112,849,321,257,624,814,748,1207,660.0,586.0,1263.0,275.0,241.0,741.0,152.0,101.0,818.0
11,4,79,659,586,1245,465,417,876,532,484,935,516,466,747,577,531,901,814,748,1207,773.0,709.0,1076.0,449.0,401.0,849.0,200.0,135.0,1154.0
710,675,544,907,854,920,316,292,535,523,451,1280,6,4,35,351,302,767,84,44,492,660.0,586.0,1263.0,165.0,117.0,736.0,742.0,700.0,480.0
751,697,773,1288,1238,826,918,853,1125,276,196,1240,518,472,756,80,44,342,238,198,604,660.0,586.0,1263.0,544.0,466.0,966.0,1018.0,968.0,755.0
213,164,872,249,173,1343,311,246,1049,724,660,1073,724,665,1039,9,1,75,419,358,704,660.0,586.0,1263.0,205.0,158.0,754.0,20.0,18.0,100.0
20,18,100,242,180,1105,660,586,1263,9,9,67,347,306,714,75,27,420,397,307,1745,142.0,87.0,817.0,259.0,235.0,624.0,724.0,665.0,1039.0
668,606,1166,397,307,1745,660,586,1263,504,452,1024,20,18,100,575,499,1442,291,225,1393,814.0,748.0,1207.0,9.0,9.0,67.0,1034.0,970.0,887.0
397,307,1745,682,639,712,796,755,552,399,340,924,538,482,1234,48,26,152,291,225,1393,660.0,586.0,1263.0,390.0,330.0,870.0,466.0,389.0,820.0
350,297,941,886,860,860,660,586,1263,516,466,747,473,422,893,129,72,875,431,376,1083,389.0,303.0,1462.0,390.0,330.0,870.0,466.0,389.0,820.0
184,134,705,806,765,653,609,542,1104,150,93,847,294,227,891,138,104,586,60,13,1,660.0,586.0,1263.0,71.0,61.0,399.0,304.0,227.0,1370.0
536,475,954,743,641,1464,151,102,825,361,327,576,715,663,784,245,201,857,249,173,1343,660.0,586.0,1263.0,390.0,330.0,870.0,9.0,6.0,64.0
6,1,16,84,44,492,653,637,650,294,248,856,7,4,1,593,543,730,660,586,1263,445.0,397.0,658.0,358.0,320.0,265.0,1211.0,1169.0,760.0
179,133,743,515,464,858,252,168,1402,328,285,821,814,756,944,11,4,79,150,93,847,660.0,586.0,1263.0,51.0,21.0,83.0,294.0,227.0,891.0
455,405,1016,386,332,1071,448,410,733,523,451,1280,892,819,985,347,278,1201,233,177,994,660.0,586.0,1263.0,532.0,484.0,935.0,580.0,523.0,1073.0
224,171,639,113,76,526,660,586,1263,659,610,562,68,39,263,455,405,1016,276,223,654,465.0,417.0,876.0,117.0,66.0,709.0,1034.0,970.0,887.0
200,135,1154,275,241,741,262,206,991,923,854,1011,1018,968,755,384,323,945,668,606,1008,448.0,410.0,733.0,615.0,539.0,1044.0,381.0,325.0,1030.0
374,323,774,105,60,796,565,525,698,204,143,754,381,325,1030,315,270,826,130,88,956,918.0,853.0,1125.0,141.0,105.0,556.0,531.0,492.0,732.0
9,1,75,87,29,640,448,410,733,614,568,765,615,539,1044,315,270,826,236,169,1061,360.0,277.0,1018.0,146.0,93.0,892.0,381.0,325.0,1030.0
315,270,826,130,88,956,772,708,1076,6,2,56,531,421,1061,336,256,758,741,668,990,495.0,433.0,1047.0,146.0,93.0,892.0,381.0,325.0,1030.0
4,2,28,387,345,814,448,410,733,780,721,747,381,325,1030,495,433,1047,923,854,1011,147.0,112.0,849.0,146.0,93.0,892.0,552.0,497.0,704.0
346,293,858,505,453,991,100,56,821,448,410,733,381,325,1030,544,498,772,469,424,817,360.0,277.0,1018.0,615.0,539.0,1038.0,164.0,96.0,660.0
87,29,640,575,518,947,10,5,75,117,66,709,381,325,1030,469,424,817,472,374,1451,425.0,359.0,1086.0,786.0,715.0,1011.0,395.0,326.0,1175.0
262,206,991,546,515,592,1184,1139,730,161,121,712,381,325,1030,431,376,1083,96,57,460,337.0,285.0,977.0,806.0,743.0,1102.0,522.0,470.0,904.0
627,580,867,728,668,983,9,9,67,276,196,1240,1034,970,887,593,543,730,235,183,954,350.0,297.0,941.0,186.0,140.0,618.0,381.0,325.0,1030.0
467,377,1342,386,332,1071,688,624,1196,449,401,849,381,325,1030,252,183,1140,235,183,954,9.0,9.0,67.0,532.0,484.0,935.0,511.0,428.0,1289.0
200,135,1154,130,88,956,147,112,849,812,747,1139,381,325,1030,669,606,1183,431,376,1083,918.0,853.0,1125.0,9.0,9.0,67.0,786.0,715.0,1011.0
315,261,997,607,536,1189,668,606,1166,333,300,640,381,325,1030,200,135,1154,130,88,956,375.0,325.0,621.0,812.0,747.0,1139.0,214.0,151.0,700.0
368,314,1124,311,246,1049,147,112,849,806,743,1102,438,385,943,415,339,1196,772,709,1058,869.0,814.0,991.0,504.0,452.0,1024.0,381.0,325.0,1030.0
573,537,631,600,548,722,796,755,552,786,714,1029,892,820,967,213,164,872,56,50,50,662.0,590.0,1059.0,812.0,747.0,1139.0,381.0,325.0,1030.0
213,164,872,688,624,1196,918,853,1125,532,484,935,381,325,1030,407,332,1069,138,104,691,262.0,206.0,991.0,339.0,294.0,832.0,668.0,607.0,988.0
1046,1011,556,278,247,528,425,359,1086,348,292,627,724,665,1039,131,95,489,138,104,691,238.0,198.0,604.0,720.0,668.0,776.0,381.0,325.0,1030.0
277,211,834,1288,1238,826,337,285,977,444,373,1294,381,325,1030,347,278,1201,211,166,731,465.0,417.0,876.0,361.0,318.0,724.0,394.0,331.0,1101.0
346,278,1185,138,104,691,377,344,483,796,737,1013,381,325,1030,593,543,730,362,302,1120,466.0,418.0,829.0,720.0,668.0,776.0,214.0,151.0,700.0
315,270,826,280,226,1031,1184,1139,730,372,315,782,204,143,754,252,183,1140,278,247,528,331.0,286.0,732.0,381.0,325.0,1030.0,619.0,546.0,816.0
357,319,842,614,568,765,337,285,977,390,330,870,448,384,1003,91,58,629,575,518,947,796.0,755.0,552.0,532.0,484.0,935.0,466.0,389.0,820.0
336,256,758,472,374,1451,257,204,1042,146,93,892,668,606,1008,497,428,1272,10,5,75,337.0,285.0,977.0,399.0,340.0,924.0,580.0,523.0,1073.0
442,372,818,581,547,678,275,241,741,923,854,1011,668,606,1008,224,181,694,150,93,847,337.0,285.0,977.0,399.0,340.0,924.0,178.0,128.0,831.0
321,257,624,619,546,816,337,285,977,336,302,323,276,196,1240,783,751,588,744,641,1481,275.0,241.0,741.0,139.0,114.0,289.0,1211.0,1169.0,760.0
366,307,1001,19,8,87,358,321,840,285,223,636,373,318,985,409,388,636,235,183,954,337.0,285.0,977.0,794.0,734.0,997.0,742.0,700.0,480.0
751,697,773,387,345,814,11,4,79,787,725,701,147,112,849,321,257,624,570,497,1215,337.0,285.0,977.0,923.0,854.0,1011.0,1018.0,968.0,755.0
6,3,31,886,860,860,415,370,528,178,133,569,203,144,714,857,807,151,337,285,977,515.0,472.0,510.0,18.0,7.0,54.0,1108.0,1066.0,647.0
