BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
412,358,827,310,268,859,127,114,848,23,23,41,552,498,1074,658,620,744,176,123,1094,458.0,406.0,985.0,26,11,75,30,23,67
7,8,10,470,423,871,218,189,658,677,629,949,301,266,755,397,351,959,762,732,890,458.0,406.0,985.0,604,553,902,30,23,67
332,273,931,470,423,871,448,399,856,176,129,873,186,162,721,416,373,938,315,281,794,458.0,406.0,985.0,2,9,83,298,259,965
31,38,78,333,273,1008,458,406,985,20,10,28,452,412,932,660,618,892,61,43,543,439.0,386.0,1046.0,604,553,902,363,325,775
194,149,837,111,78,761,525,495,643,640,576,1204,480,397,1457,558,520,857,563,503,1025,458.0,406.0,985.0,30,23,67,552,499,1057
166,119,767,195,143,947,441,377,1067,144,103,990,220,184,815,352,307,957,236,177,1107,458.0,406.0,985.0,151,108,766,115,100,712
118,85,794,6,5,74,458,406,985,439,386,1046,441,408,753,607,588,527,374,332,968,320.0,253.0,940.0,34,35,4,357,278,1428
254,217,803,195,143,947,19,11,100,237,193,966,133,107,1007,122,108,751,122,86,859,458.0,406.0,985.0,364,310,1009,34,34,28
24,5,53,94,77,461,458,406,985,129,88,677,268,238,717,240,177,1205,163,161,341,131.0,111.0,633.0,37,47,35,34,34,28
658,620,744,111,78,761,458,406,985,217,189,1066,113,98,684,619,616,576,1011,973,696,19.0,3.0,75.0,555,489,1276,137,91,743
184,140,780,418,381,886,200,144,940,146,88,948,297,262,717,385,334,798,18,14,87,249.0,210.0,883.0,458,406,985,480,397,1457
