SERVER,BTOP_CHAMP_ID,BTOP_CHAMP_MAST,BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_CHAMP_ID,BJGL_CHAMP_MAST,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_CHAMP_ID,BMID_CHAMP_MAST,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_CHAMP_ID,BBOT_CHAMP_MAST,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_CHAMP_ID,BSUP_CHAMP_MAST,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RTOP_CHAMP_MAST,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_CHAMP_ID,RJGL_CHAMP_MAST,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_CHAMP_ID,RMID_CHAMP_MAST,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_CHAMP_ID,RBOT_CHAMP_MAST,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_CHAMP_ID,RSUP_CHAMP_MAST,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,FIRST_DRAG,FIRST_HERALD,FIRST_TOWER,BFIRST_OBJ_COUNT,RFIRST_OBJ_COUNT,TOP_WLR_DIFF,JGL_WLR_DIFF,MID_WLR_DIFF,BOT_WLR_DIFF,SUP_WLR_DIFF,B_WLR,R_WLR,TEAM_WLR_DIFF,AVG_LANE_WLF_DIFF,TOP_MASTERY_DIFF,JGL_MASTERY_DIFF,MID_MASTERY_DIFF,BOT_MASTERY_DIFF,SUP_MASTERY_DIFF,AVG_LANE_MASTERY_DIFF,BSUM_TEAM_MASTERY,RSUM_TEAM_MASTERY,TEAM_MASTERY_DIFF,BSUM_LP,RSUM_LP,TEAM_LP_DIFF,WINNER
EUROPE WEST,113,12921,401.0,353.0,1036.0,60,185827,196.0,149.0,739.0,31,689293,35.0,40.0,75.0,15,94099,115.0,100.0,712.0,43,224024,439.0,412.0,584.0,62,119,163,166,429,126,372557,218.0,174.0,886.0,30,26447,70.0,44.0,234.0,221,15166,224.0,199.0,740.0,21,433441,801.0,774.0,632.0,350,34623,20.0,26.0,50.0,111,55,84,166,38,0,0,0,0,0,0,-0.11689622610790917,-0.2754728492983525,-0.2506281407035176,0.11511627906976729,0.2963032113517551,1.125237191650854,1.09531635168447,0.02992083996638395,-0.04631554513765137,-359636,159380,674127,-339342,189401,64786.0,1206164,882234,323930,3146.0,2542.0,604.0,0
EUROPE WEST,58,74610,401.0,353.0,1036.0,104,169454,179.0,125.0,968.0,55,2023932,448.0,399.0,856.0,119,76342,525.0,465.0,1001.0,44,17808,1011.0,973.0,696.0,117,29,517,166,268,92,392936,218.0,174.0,886.0,245,962871,31.0,38.0,78.0,518,98404,760.0,647.0,1464.0,221,31038,517.0,486.0,748.0,16,118053,530.0,489.0,941.0,163,166,429,555,887,1,1,0,1,0,0,-0.11689622610790917,0.6162105263157894,-0.05184522356896881,0.06524624983406357,-0.04479011006794931,1.1075593952483802,1.1210468920392584,-0.01348749679087824,0.09358504328100514,-318326,-793417,1925528,45304,-100245,151768.8,2362146,1603302,758844,4557.0,4117.0,440.0,1
EUROPE WEST,24,1056496,660.0,618.0,892.0,78,27504,341.0,304.0,842.0,7,29513,365.0,310.0,969.0,221,47965,546.0,499.0,1011.0,16,102972,205.0,159.0,958.0,91,429,555,141,122,113,12921,401.0,353.0,1036.0,59,41140,575.0,538.0,874.0,55,2023932,448.0,399.0,856.0,119,54787,423.0,384.0,830.0,53,819037,483.0,431.0,1013.0,15,-1,23,163,166,0,1,0,1,0,0,-0.06801617206193789,0.05293729211504594,0.054612337294850155,-0.007374123246493003,0.16865852412847104,1.12010582010582,1.1068883610451306,0.013217459060689496,0.04016357164598725,1043575,-13636,-1994419,-6822,-716065,-337473.4,1264450,2951817,-1687367,4672.0,4609.0,63.0,1
EUROPE WEST,887,22457,202.0,163.0,668.0,234,75893,400.0,333.0,937.0,55,2023932,448.0,399.0,856.0,236,24902,344.0,286.0,1066.0,267,25229,30.0,23.0,67.0,895,119,350,421,166,85,174421,401.0,353.0,1036.0,254,33737,575.0,538.0,874.0,103,118756,101.0,76.0,1057.0,429,87316,423.0,384.0,830.0,53,819037,483.0,431.0,1013.0,200,15,163,23,166,1,1,0,0,0,0,0.1032864665705,0.13242796700045778,-0.20614035087719307,0.1012347027972027,0.18369817411479872,1.1827242524916943,1.112794612794613,0.06992963969708144,0.06290139192115322,-151964,42156,1905176,-62414,-793808,187829.2,2172413,1233267,939146,3594.0,4810.0,-1216.0,1
EUROPE WEST,113,12921,401.0,353.0,1036.0,106,262802,418.0,381.0,666.0,38,34964,111.0,72.0,347.0,895,3317,146.0,114.0,519.0,43,1673210,807.0,770.0,1008.0,4,166,107,119,555,41,170194,252.0,231.0,476.0,131,2698,93.0,47.0,677.0,126,295506,339.0,295.0,810.0,222,136498,517.0,486.0,748.0,57,499859,14.0,2.0,75.0,350,29,555,40,238,1,1,0,1,0,0,0.045068246201390716,-0.8816105433629309,0.3925141242937853,0.21691574615551223,-5.951948051948052,1.1142011834319527,1.1451460885956644,-0.030944905163711622,-1.2358120957320589,-157273,260104,-260542,-133181,1173351,176491.8,1987214,1104755,882459,3576.0,2786.0,790.0,1
EUROPE WEST,58,74610,401.0,353.0,1036.0,62,23769,304.0,273.0,685.0,84,119565,456.0,413.0,909.0,81,140777,535.0,517.0,608.0,101,42077,165.0,129.0,754.0,166,895,163,15,432,39,178035,593.0,537.0,1033.0,56,53846,335.0,271.0,1007.0,517,158066,425.0,386.0,895.0,145,1159008,314.0,295.0,697.0,111,47047,163.0,135.0,639.0,38,119,429,163,246,0,1,0,0,0,0,0.03169428310675726,-0.12260924807050255,0.003079953330238805,-0.029590532078811904,0.07166236003445303,1.1044510385756676,1.1268472906403941,-0.022396252064726507,-0.009152636735573072,-103425,-30077,-38501,-1018231,-4970,-239040.8,400798,1596002,-1195204,3992.0,4271.0,-279.0,0
EUROPE WEST,113,27180,46.0,30.0,21.0,254,84683,573.0,535.0,739.0,112,40732,209.0,170.0,301.0,895,32931,19.0,23.0,3.0,40,3910,119.0,90.0,709.0,429,114,15,29,246,58,75309,401.0,353.0,1036.0,234,144351,570.0,513.0,1169.0,163,19395,342.0,307.0,688.0,119,56843,176.0,160.0,412.0,526,88036,327.0,274.0,675.0,5,888,166,28,111,1,1,0,1,0,0,0.3973559962228519,-0.04008307372793363,0.11540525004790192,-0.27391304347826095,0.1287915652879157,1.1391509433962264,1.1300560049782202,0.009094938418006127,0.06551133887049498,-48129,-59668,21337,-23912,-84126,-38899.6,189436,383934,-194498,1773.0,3980.0,-2207.0,1
EUROPE WEST,150,244749,401.0,353.0,1036.0,76,10218,240.0,177.0,1205.0,238,3894027,254.0,217.0,803.0,202,88514,198.0,149.0,824.0,555,279308,497.0,456.0,893.0,119,166,421,350,895,157,610281,274.0,221.0,1213.0,60,185827,196.0,150.0,723.0,163,144686,425.0,386.0,895.0,81,35091,217.0,189.0,1066.0,888,42808,119.0,91.0,694.0,350,246,131,62,58,1,1,0,1,0,0,-0.10384166741440537,0.049265536723163805,0.06947064301234462,0.1807109122545365,-0.21778002699055343,1.1760355029585798,1.1870781099324976,-0.01104260697391779,-0.004434920482982774,-365532,-175609,3749341,53423,236500,699624.6,4516816,1018693,3498123,4761.0,4591.0,170.0,1
EUROPE WEST,157,610281,274.0,221.0,1213.0,60,185827,196.0,149.0,739.0,163,144562,425.0,386.0,895.0,29,68041,198.0,149.0,824.0,888,63439,497.0,456.0,893.0,895,246,119,62,58,126,182545,289.0,240.0,992.0,131,11688,195.0,143.0,947.0,150,244749,401.0,353.0,1036.0,147,29232,30.0,23.0,67.0,235,13477,119.0,91.0,694.0,-1,421,555,166,107,1,1,1,1,0,0,0.03565233785822031,-0.04820012202562518,-0.034941067680429816,0.024511234315728103,-0.21778002699055343,1.168258633357825,1.2164705882352942,-0.0482119548774691,-0.048151528904532004,427736,174139,-100187,38809,49962,118091.8,1072150,481691,590459,4564.0,3736.0,828.0,1
EUROPE WEST,79,5892,240.0,177.0,1205.0,427,1281105,13.0,7.0,75.0,157,3360251,650.0,588.0,951.0,145,103983,414.0,361.0,1079.0,111,348565,235.0,195.0,836.0,55,7,-1,888,887,85,174421,401.0,353.0,1036.0,5,17064,427.0,374.0,931.0,268,11524,441.0,377.0,1067.0,15,173387,452.0,412.0,932.0,432,1342662,612.0,549.0,1192.0,40,350,166,429,119,0,1,1,1,0,0,0.2199548662793489,0.7154316271963332,-0.06431909633880073,0.04972702579135624,0.09037410676754942,1.1686746987951808,1.1297820823244553,0.038892616470725505,0.2022337059391574,-168529,1264041,3348727,-69404,-994097,676147.6,5099796,1719058,3380738,4146.0,5158.0,-1012.0,1
