BTOP_CHAMP_MAST,BJGL_CHAMP_MAST,BMID_CHAMP_MAST,BBOT_CHAMP_MAST,BSUP_CHAMP_MAST,RTOP_CHAMP_MAST,RJGL_CHAMP_MAST,RMID_CHAMP_MAST,RBOT_CHAMP_MAST,RSUP_CHAMP_MAST
934210,205336,312952,47647,228500,10155,1177940,262143,111205,21378
1348873,73079,705656,87567,63549,30806,16706,1737439,3284,154119
81606,1173377,26896,312952,32280,131292,307529,6375,644438,87634
934210,11355,705656,9935,54339,139859,22439,207801,20169,92563
433843,103416,705656,21773,115221,11956,182734,4781,157116,18499
23789,450561,705656,91649,142936,1159895,36634,5190,172603,27902
173809,119250,705656,12032,74117,1978756,84847,176790,166030,218195
1300278,5506,4251,35380,8534,20008,7109,5322,5475,140005
162081,177679,98283,1349841,288631,5902,720693,930643,264207,7996
207356,8894,62102,110262,248985,190625,98846,705656,5524,245167
2326809,15186,259712,445523,248985,221027,34423,481950,145006,4138
157654,338630,12087,164511,41155,83826,16230,81606,37157,794182
98502,76814,175951,268754,53552,1666691,410705,140720,425,121206
3471,10641,205336,6229,815,5697,23217,102854,11490,1848621
27763,41082,19379,72030,32513,17330,185106,29622,38466,1121680
1985,3752,23231,31503,43366,6985,6751,82486,25920,1121680
80474,44359,635398,10358,6985,2421,41282,16065,592039,21701
1182,3083598,172222,66718,4993,1018830,125210,12856,60746,278931
37416,92382,20446,174365,4116,37578,97579,574456,72074,740305
44800,720693,610712,4742,643162,132567,3510,565123,1267,1392
787616,82344,88999,14894,350086,154745,2532239,565123,6648,175540
68335,2532239,174365,125516,83326,225829,52618,3087351,125886,1162
496736,13558,841865,349908,187002,23450,149930,56849,174365,244095
1068764,45661,37289,206536,970,100652,40080,565123,141010,70424
55126,6647,811633,45994,33505,13433,57756,140720,42212,104904
450934,82344,19915,35435,1512644,816262,253344,4453758,189078,28497
217507,9366,12087,1219917,2801840,698448,37289,4453758,2727,8539
152284,45756,47577,8459,2801840,354514,37289,306640,143574,219031
1978756,9063,1376033,86015,101435,12949,64901,297987,44390,3708
98502,254289,20179,42212,57423,12949,1285037,8155,13284,3368
111661,111200,31425,81561,32174,29515,150217,48143,68245,122119
2326809,54600,38875,3410,202400,44800,336236,169475,1737439,114011
494168,21113,10134,9677,8594,33552,4100,86015,8134,346
98502,525776,62102,71355,46093,241944,104730,52990,115043,48577
33552,997,25364,3861,490856,26792,135344,29384,95117,193848
62836,52618,130275,4876,76418,1821627,146069,83868,66710,9399
138730,73079,375623,11722,34761,54708,3579,86015,2202,440628
219767,49861,138680,79503,25102,213675,2531532,86015,70500,227482
36578,3446771,169475,46325,31936,10083,15656,834697,79503,27823
72187,81232,129528,133822,218389,59378,111017,1603233,127841,810
21373,24955,52990,641729,1785235,15600,55676,1603233,30645,264552
325370,80016,52990,30645,141723,72187,2864,718710,2424,264552
1776,9224,36322,142819,574663,81537,73079,26706,209646,278265
111739,18025,803651,133822,51338,1562275,10944,1013,539781,630200
56799,3198,50081,48360,58974,593103,142627,38138,10583,7960
10795,88719,574456,2044,13601,2216889,94041,86015,202704,27080
31134,1742,139105,81075,62950,367016,484299,41550,20199,1234636
34742,247807,120453,15932,30812,34190,3446771,3350,312987,22400
515064,23736,22026,219378,52430,24877,146069,1140195,6127,1803
494168,146069,62516,219378,52430,1216,152397,3419,24801,36965
98502,172039,934210,13269,22400,247554,252911,17701,641729,19174
28820,56305,157556,38594,140940,35205,244870,12908,32976,140392
55126,17835,296217,294680,220475,93548,18986,6064,157556,72466
55126,15448,398287,22037,29564,34190,24012,176913,3403,48937
34190,90309,7970,13175,80455,79876,24012,21105,2120,20336
80002,101334,1107880,53117,51117,91224,8265,26745,121930,309697
33913,296421,1396556,314615,256191,22202,20543,59082,957,83880
