BTOP_WINS,BTOP_LOSSES,BTOP_LEAGUE_POINTS,BJGL_WINS,BJGL_LOSSES,BJGL_LEAGUE_POINTS,BMID_WINS,BMID_LOSSES,BMID_LEAGUE_POINTS,BBOT_WINS,BBOT_LOSSES,BBOT_LEAGUE_POINTS,BSUP_WINS,BSUP_LOSSES,BSUP_LEAGUE_POINTS,RTOP_WINS,RTOP_LOSSES,RTOP_LEAGUE_POINTS,RJGL_WINS,RJGL_LOSSES,RJGL_LEAGUE_POINTS,RMID_WINS,RMID_LOSSES,RMID_LEAGUE_POINTS,RBOT_WINS,RBOT_LOSSES,RBOT_LEAGUE_POINTS,RSUP_WINS,RSUP_LOSSES,RSUP_LEAGUE_POINTS
745.0,732.0,264.0,91.0,72.0,502.0,248.0,241.0,246.0,843.0,809.0,618.0,60.0,49.0,55.0,654.0,628.0,770.0,8.0,4.0,48.0,281.0,275.0,327.0,27.0,22.0,75.0,565.0,545.0,429.0
93.0,91.0,84.0,679.0,618.0,382.0,193.0,183.0,250.0,843.0,809.0,618.0,40.0,34.0,1.0,32.0,18.0,34.0,380.0,372.0,330.0,468.0,428.0,452.0,379.0,364.0,199.0,490.0,465.0,426.0
68.0,61.0,0.0,478.0,456.0,620.0,155.0,119.0,486.0,843.0,809.0,618.0,132.0,105.0,717.0,42.0,27.0,75.0,138.0,149.0,433.0,489.0,455.0,814.0,53.0,52.0,0.0,229.0,190.0,652.0
128.0,73.0,597.0,79.0,53.0,505.0,446.0,423.0,489.0,26.0,8.0,26.0,388.0,319.0,498.0,26.0,32.0,77.0,843.0,809.0,618.0,394.0,358.0,372.0,200.0,195.0,432.0,229.0,190.0,652.0
171.0,146.0,704.0,148.0,134.0,458.0,7.0,3.0,79.0,136.0,98.0,306.0,401.0,386.0,259.0,145.0,107.0,289.0,843.0,809.0,618.0,5.0,9.0,68.0,200.0,195.0,432.0,657.0,623.0,579.0
206.0,209.0,85.0,533.0,510.0,351.0,77.0,62.0,44.0,843.0,809.0,618.0,122.0,96.0,529.0,813.0,771.0,562.0,121.0,99.0,216.0,188.0,165.0,614.0,283.0,252.0,855.0,448.0,433.0,470.0
169.0,152.0,544.0,287.0,253.0,479.0,470.0,430.0,684.0,216.0,194.0,66.0,517.0,480.0,652.0,121.0,100.0,343.0,361.0,354.0,497.0,267.0,224.0,273.0,225.0,205.0,321.0,454.0,424.0,438.0
379.0,320.0,1130.0,267.0,224.0,273.0,79.0,46.0,234.0,21.0,9.0,52.0,115.0,113.0,714.0,48.0,35.0,87.0,37.0,25.0,75.0,338.0,291.0,1107.0,216.0,170.0,1005.0,410.0,347.0,1148.0
208.0,141.0,1127.0,9.0,3.0,29.0,368.0,354.0,616.0,262.0,224.0,911.0,108.0,99.0,516.0,643.0,624.0,816.0,267.0,224.0,273.0,361.0,310.0,1055.0,218.0,159.0,889.0,342.0,320.0,552.0
263.0,214.0,1164.0,86.0,9.0,100.0,149.0,102.0,920.0,20.0,17.0,55.0,326.0,311.0,761.0,370.0,298.0,1049.0,267.0,224.0,273.0,192.0,158.0,689.0,160.0,123.0,1018.0,248.0,192.0,1257.0
498.0,459.0,737.0,267.0,224.0,273.0,149.0,102.0,920.0,92.0,56.0,841.0,120.0,77.0,1019.0,12.0,8.0,91.0,533.0,502.0,579.0,338.0,291.0,1107.0,537.0,473.0,1506.0,248.0,192.0,1257.0
79.0,50.0,16.0,179.0,129.0,814.0,231.0,185.0,1083.0,160.0,123.0,1018.0,326.0,311.0,761.0,221.0,180.0,1592.0,267.0,224.0,273.0,323.0,284.0,926.0,107.0,92.0,825.0,283.0,257.0,815.0
,,,10.0,0.0,3.0,162.0,161.0,81.0,267.0,224.0,273.0,8.0,17.0,78.0,13.0,14.0,100.0,11.0,8.0,38.0,10.0,19.0,0.0,180.0,173.0,4.0,,,
