SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
KOREA,154,131,246,429,888,-1,887,119,268,-1,150,104,517,81,53,-1,268,15,421,-1,BLUE
KOREA,887,62,777,81,432,68,76,163,246,111,268,234,166,523,555,-1,350,429,7,15,BLUE
KOREA,887,78,163,29,888,-1,15,246,68,119,58,48,268,429,44,69,119,76,-1,41,BLUE
KOREA,24,234,163,523,267,246,119,15,429,91,84,104,39,236,350,-1,-1,895,55,-1,RED
KOREA,113,80,84,523,223,887,-1,119,-1,-1,114,429,30,157,888,68,895,163,119,76,RED
KOREA,113,78,517,81,350,119,76,163,254,68,887,62,13,429,111,15,-1,-1,-1,-1,RED
KOREA,141,43,13,22,15,103,421,238,-1,350,517,80,234,81,497,68,268,350,119,429,BLUE
KOREA,887,80,517,145,12,78,120,-1,429,55,876,163,246,15,235,429,555,350,-1,103,RED
KOREA,68,131,246,157,111,142,887,895,119,23,79,64,91,81,201,103,221,429,119,236,BLUE
KOREA,69,62,105,236,267,24,119,-1,68,7,887,80,517,81,43,163,-1,777,234,429,RED
KOREA,150,131,238,15,555,58,163,517,246,-1,84,78,127,221,350,429,119,-1,80,-1,BLUE
KOREA,113,234,112,15,350,246,887,-1,429,163,266,80,103,67,117,119,777,429,114,163,BLUE
KOREA,268,234,517,119,111,429,80,163,164,-1,58,64,84,15,555,246,429,895,39,-1,BLUE
KOREA,268,91,517,202,117,888,421,432,78,119,58,80,13,15,350,-1,555,-1,111,429,BLUE
KOREA,887,59,711,15,16,-1,163,-1,-1,429,113,141,268,236,267,76,119,-1,777,91,RED
KOREA,23,80,13,360,111,119,429,238,41,350,69,517,104,236,267,119,-1,112,163,429,BLUE
KOREA,887,234,7,523,223,55,429,107,-1,119,150,80,711,15,555,517,246,777,236,119,BLUE
KOREA,41,80,142,67,497,350,7,30,133,111,36,104,517,89,360,20,163,888,234,166,BLUE
KOREA,121,62,711,429,44,163,432,-1,15,91,887,78,777,81,43,-1,235,238,58,236,BLUE
KOREA,58,76,517,15,555,887,236,-1,523,105,150,234,13,895,350,39,429,-1,221,119,BLUE
KOREA,79,64,875,15,43,268,7,887,350,78,13,59,103,236,267,119,58,105,429,887,RED
KOREA,84,234,134,81,43,555,429,895,91,15,887,78,7,221,350,268,163,55,119,157,RED
KOREA,41,78,84,15,117,68,119,-1,888,429,268,64,517,221,350,429,163,-1,-1,13,RED
KOREA,41,104,84,221,111,30,350,78,555,-1,887,80,268,236,267,429,-1,163,119,895,BLUE
KOREA,887,234,103,429,412,221,80,-1,-1,-1,58,163,111,236,268,888,91,-1,15,119,BLUE
KOREA,234,166,163,429,888,777,119,221,895,150,41,30,110,236,267,221,200,91,-1,78,RED
KOREA,517,163,777,222,223,7,429,23,221,22,92,91,84,523,888,429,142,895,58,119,BLUE
KOREA,41,78,268,22,888,142,119,429,68,147,84,200,777,236,267,-1,-1,-1,-1,-1,BLUE
KOREA,102,200,103,119,888,235,30,236,24,268,41,48,7,81,22,429,777,23,236,221,RED
KOREA,516,48,112,81,350,429,111,223,41,221,68,91,13,157,254,236,429,7,268,360,BLUE
KOREA,79,234,50,157,526,360,236,221,-1,429,887,62,517,145,497,223,134,-1,107,200,RED
KOREA,10,64,268,429,117,235,246,24,221,163,887,91,777,523,888,-1,236,-1,221,-1,BLUE
KOREA,79,48,268,221,432,-1,62,39,236,-1,41,78,127,29,350,55,42,-1,64,-1,BLUE
KOREA,41,79,268,29,555,429,223,-1,91,-1,104,64,13,523,497,236,142,126,103,221,BLUE
KOREA,117,64,127,222,43,68,221,223,145,429,122,200,112,523,497,888,221,236,429,67,BLUE
KOREA,68,64,112,22,888,429,81,221,23,223,113,62,142,235,44,200,236,429,-1,163,BLUE
KOREA,50,254,887,221,350,200,-1,55,68,41,27,234,103,235,62,10,236,157,429,200,RED
KOREA,67,64,42,221,888,236,-1,268,86,-1,150,200,4,145,497,-1,236,7,114,429,RED
KOREA,106,254,103,221,497,-1,236,-1,150,-1,41,104,68,29,888,-1,236,234,200,268,BLUE
KOREA,68,163,14,523,555,-1,119,-1,238,10,246,76,777,235,223,41,236,62,-1,-1,RED
KOREA,876,64,127,235,223,-1,86,30,268,888,887,163,246,81,44,221,268,-1,200,429,BLUE
KOREA,150,106,517,221,497,55,-1,200,235,-1,68,64,103,145,89,236,23,888,200,429,BLUE
KOREA,78,60,777,81,89,429,200,41,236,7,133,76,157,222,111,200,54,163,221,119,BLUE
KOREA,54,163,157,119,111,35,200,68,-1,236,166,234,4,221,223,200,-1,64,24,-1,BLUE
KOREA,106,127,200,119,497,888,35,221,62,24,79,246,103,235,223,64,236,122,76,111,RED
KOREA,887,80,13,236,267,888,36,-1,-1,350,517,254,50,15,22,-1,429,111,163,7,RED
KOREA,887,62,13,429,888,163,-1,350,238,119,36,80,517,221,79,119,895,7,114,35,BLUE
KOREA,58,30,238,119,875,429,163,80,895,157,8,76,777,203,111,350,78,555,268,68,RED
KOREA,516,245,555,15,117,350,711,-1,107,7,266,30,91,221,43,78,163,133,119,429,BLUE
KOREA,24,72,103,111,15,895,429,79,-1,-1,59,78,163,523,98,429,7,-1,119,268,BLUE
KOREA,84,163,234,360,111,-1,76,-1,119,150,887,59,68,15,22,268,-1,114,429,35,RED
KOREA,113,131,39,96,267,78,-1,119,350,7,887,62,157,236,53,429,119,-1,-1,-1,RED
KOREA,150,234,711,15,201,221,107,-1,-1,887,84,80,238,429,111,517,350,24,58,119,BLUE
KOREA,887,234,163,119,555,15,-1,114,895,429,84,131,246,236,267,895,-1,91,7,114,RED
KOREA,13,5,3,15,111,119,163,-1,246,68,27,80,517,429,12,887,267,350,39,221,RED
KOREA,114,80,163,895,111,103,-1,350,-1,-1,24,76,777,110,12,429,-1,7,268,119,RED
KOREA,19,64,7,221,117,266,-1,163,429,55,24,80,268,15,147,78,-1,-1,-1,350,RED
KOREA,887,429,84,78,888,-1,895,24,-1,-1,23,33,517,523,117,268,62,-1,350,221,BLUE
KOREA,887,76,555,15,32,78,7,24,236,429,114,64,517,221,117,78,429,350,-1,119,RED
KOREA,166,121,517,895,350,-1,-1,62,142,429,221,80,268,85,111,-1,39,78,15,119,RED
KOREA,68,64,517,236,267,555,887,119,22,78,23,44,39,523,117,15,24,7,107,119,RED
KOREA,58,104,163,15,89,238,429,119,91,-1,517,76,234,29,12,895,78,119,777,-1,RED
KOREA,13,64,68,15,350,119,78,24,72,895,113,234,268,221,117,429,777,119,30,887,BLUE
KOREA,268,91,517,221,350,777,429,120,-1,-1,150,76,238,119,555,107,58,78,24,236,RED
KOREA,41,64,142,221,89,30,78,429,-1,246,10,5,517,157,235,429,15,13,24,350,BLUE
KOREA,58,64,517,51,43,157,268,895,429,-1,887,80,7,523,412,-1,55,429,-1,78,RED
KOREA,876,80,142,29,117,350,-1,555,711,64,114,120,61,236,267,163,7,-1,-1,119,RED
KOREA,164,163,84,157,12,91,-1,-1,-1,7,114,80,142,15,43,41,887,-1,119,711,RED
KOREA,163,64,266,81,111,7,119,246,86,62,27,80,103,429,89,15,68,-1,887,555,BLUE
KOREA,113,200,8,523,79,-1,-1,268,887,163,68,876,91,429,89,350,711,107,-1,163,RED
KOREA,150,104,84,115,89,-1,39,91,-1,15,114,62,245,429,111,157,119,888,163,85,BLUE
KOREA,150,62,84,202,89,-1,-1,-1,429,-1,887,78,117,119,39,7,114,15,-1,111,RED
KOREA,268,234,516,15,350,91,114,429,119,888,150,48,517,157,79,429,238,91,119,887,BLUE
KOREA,68,48,23,523,16,-1,114,-1,711,163,34,62,246,15,43,119,711,76,266,429,BLUE
KOREA,36,64,112,221,350,114,517,53,81,895,24,131,91,429,22,79,163,119,-1,7,BLUE
KOREA,887,234,711,15,79,-1,114,238,76,163,24,64,268,115,89,62,555,350,429,163,BLUE
KOREA,79,30,91,523,497,254,163,78,429,895,27,62,517,115,555,157,236,-1,163,-1,RED
KOREA,113,238,517,429,32,350,895,163,887,777,27,91,103,81,201,236,55,221,-1,51,BLUE
KOREA,114,64,142,429,89,7,777,119,-1,58,887,200,711,523,53,24,-1,78,68,163,RED
KOREA,114,163,517,523,113,119,238,203,555,-1,67,78,103,15,350,-1,-1,-1,7,119,BLUE
KOREA,23,60,777,15,350,-1,76,24,711,119,27,78,163,110,111,-1,76,-1,429,107,BLUE
KOREA,24,64,103,119,78,350,-1,246,-1,163,887,48,517,429,22,-1,-1,-1,-1,-1,RED
KOREA,150,76,91,360,111,429,119,268,68,163,58,254,517,236,267,15,-1,20,114,895,BLUE
KOREA,887,80,517,236,12,107,895,-1,55,58,113,76,238,15,267,58,-1,350,429,711,BLUE
KOREA,84,234,517,15,40,-1,-1,-1,163,895,777,64,268,235,113,24,246,-1,29,119,BLUE
KOREA,79,107,13,523,223,78,895,62,150,163,887,48,268,429,412,62,119,-1,-1,555,RED
KOREA,79,62,268,360,89,119,76,157,350,429,266,163,246,236,267,895,107,-1,30,114,RED
KOREA,516,131,246,236,267,41,-1,895,-1,-1,113,80,163,360,111,78,429,268,350,-1,BLUE
KOREA,113,80,163,236,267,91,429,895,78,-1,122,48,7,15,235,-1,-1,41,119,78,BLUE
KOREA,68,80,91,96,117,107,119,78,15,163,122,59,517,236,267,85,429,30,78,119,BLUE
KOREA,516,78,268,523,22,887,91,119,163,267,114,62,103,221,888,55,30,350,-1,429,RED
KOREA,887,429,163,64,79,895,78,-1,246,15,517,203,3,221,12,-1,68,-1,20,-1,RED
KOREA,114,62,127,236,267,895,-1,429,-1,157,777,76,238,119,888,429,517,58,24,523,BLUE
KOREA,79,78,777,15,350,895,267,119,-1,-1,64,48,268,221,117,895,429,-1,-1,887,RED
KOREA,79,80,268,157,12,887,221,517,429,119,555,78,112,15,102,68,163,895,-1,-1,RED
KOREA,164,131,3,119,32,350,555,33,-1,91,266,234,55,523,888,421,33,711,78,517,RED
KOREA,58,33,13,119,44,78,150,20,200,48,777,254,268,15,111,122,22,24,888,157,BLUE
KOREA,777,78,163,222,111,157,429,-1,15,895,79,48,7,221,350,41,119,895,80,429,BLUE
KOREA,59,80,163,147,22,68,429,221,895,-1,102,131,39,15,350,895,24,119,-1,7,RED
KOREA,887,64,7,888,15,119,163,895,-1,429,114,107,145,127,412,163,78,895,429,119,BLUE
KOREA,150,234,163,221,89,41,78,888,119,895,113,80,517,15,201,119,200,429,895,58,RED
KOREA,24,245,14,15,350,76,114,-1,119,429,516,234,517,110,43,64,246,-1,-1,887,BLUE
KOREA,102,80,103,15,555,268,107,114,895,7,887,64,13,429,888,157,-1,350,777,119,BLUE
KOREA,102,120,268,147,235,517,150,429,163,234,113,107,166,15,350,163,7,62,895,78,RED
KOREA,59,48,517,119,25,157,103,246,888,81,8,78,13,111,523,888,39,68,895,157,RED
KOREA,113,163,246,523,223,268,78,887,119,76,150,60,58,429,888,555,119,76,236,-1,RED
KOREA,102,131,13,119,111,163,221,429,895,78,24,62,7,15,350,91,555,76,-1,-1,BLUE
KOREA,777,254,517,221,875,119,-1,-1,-1,350,79,131,157,15,555,119,9,895,7,-1,BLUE
KOREA,23,163,517,111,523,76,119,-1,22,895,887,48,234,429,888,157,895,268,68,55,RED
KOREA,64,246,142,15,888,119,76,-1,777,-1,79,234,7,429,22,163,895,-1,150,-1,RED
KOREA,164,131,157,429,888,76,895,555,268,163,24,78,517,360,32,200,895,119,-1,-1,BLUE
KOREA,114,91,79,429,32,157,888,221,163,41,887,234,517,119,235,895,68,76,555,246,RED
KOREA,78,150,517,81,12,429,-1,86,64,-1,122,76,234,360,111,236,221,39,163,-1,RED
KOREA,41,120,127,119,350,888,163,234,517,-1,266,78,246,523,32,142,895,888,711,-1,BLUE
KOREA,114,246,134,15,43,41,78,221,895,142,85,234,517,523,111,119,91,-1,163,76,BLUE
KOREA,126,33,523,134,12,15,55,119,62,68,887,254,163,429,555,-1,-1,24,15,246,BLUE
KOREA,517,62,777,96,117,895,-1,429,29,-1,58,80,163,236,267,22,119,78,55,30,RED
KOREA,14,76,39,429,412,7,22,236,268,64,41,78,103,119,555,55,15,30,-1,91,BLUE
KOREA,79,234,112,15,350,429,555,150,711,119,268,80,7,221,147,888,55,-1,-1,119,RED
KOREA,114,62,268,350,221,78,-1,267,58,429,113,234,163,15,117,91,429,119,887,107,BLUE
KOREA,122,62,268,15,350,267,163,119,41,78,84,254,112,29,40,555,429,-1,236,887,BLUE
KOREA,3,62,163,110,111,20,429,24,119,-1,887,56,517,236,267,68,429,555,895,55,BLUE
KOREA,24,238,13,429,888,200,62,119,7,163,154,78,103,15,432,62,119,267,777,55,RED
KOREA,113,78,142,81,43,777,-1,24,53,888,102,48,134,235,64,15,429,55,221,432,BLUE
KOREA,887,234,7,15,223,163,30,429,-1,20,68,107,103,110,888,78,163,58,119,62,RED
KOREA,266,163,112,221,350,119,30,78,114,157,122,238,103,202,53,55,429,15,895,67,RED
KOREA,58,64,711,895,888,78,234,268,119,55,887,91,777,147,22,7,119,429,78,-1,RED
KOREA,19,80,7,429,888,-1,78,-1,119,24,887,64,134,235,223,-1,55,-1,119,62,BLUE
KOREA,266,120,134,221,117,163,55,429,517,58,78,421,13,81,350,246,267,103,119,41,BLUE
