SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,FIRST_DRAG,FIRST_HERALD,FIRST_TOWER,WINNER
NORTH AMERICA,122,120,99,429,888,114,69,16,523,26,164,876,42,22,497,246,157,-1,350,238,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,24,104,115,29,40,41,119,9,15,238,85,62,91,895,26,23,555,517,888,268,BLUE,BLUE,RED,BLUE,BLUE
NORTH AMERICA,24,30,238,523,223,41,7,119,517,555,84,48,85,29,888,429,-1,114,203,86,RED,RED,BLUE,RED,BLUE
NORTH AMERICA,76,238,8,523,412,245,38,114,147,517,92,104,103,223,235,360,157,555,114,429,RED,BLUE,RED,RED,RED
NORTH AMERICA,79,59,517,15,497,157,119,17,104,9,84,62,555,44,147,26,119,268,17,221,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,39,106,517,145,12,268,350,122,24,104,43,48,777,81,555,246,114,35,895,147,RED,RED,BLUE,RED,BLUE
NORTH AMERICA,24,77,221,43,350,114,131,246,157,119,164,120,777,147,22,246,9,429,238,30,RED,BLUE,RED,RED,BLUE
NORTH AMERICA,777,238,7,498,497,107,114,9,-1,119,246,131,104,157,12,221,517,147,122,9,RED,RED,BLUE,RED,RED
NORTH AMERICA,24,245,6,67,350,30,268,54,104,26,92,68,1,429,888,119,134,35,114,163,RED,RED,RED,RED,RED
NORTH AMERICA,887,64,163,81,888,35,-1,53,114,55,23,147,104,201,236,107,268,54,141,555,RED,BLUE,RED,RED,RED
NORTH AMERICA,8,68,234,81,101,35,163,17,432,429,41,20,517,895,888,6,119,15,19,38,RED,RED,BLUE,RED,RED
NORTH AMERICA,114,77,268,222,235,147,-1,203,78,119,2,68,84,15,432,119,35,23,55,9,BLUE,RED,RED,RED,RED
NORTH AMERICA,8,91,26,523,350,246,9,119,17,35,41,44,517,360,37,55,163,86,20,235,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,86,44,50,429,37,92,350,119,157,203,84,48,41,360,497,163,26,246,114,35,RED,RED,RED,RED,BLUE
NORTH AMERICA,114,203,7,147,53,134,30,221,15,107,150,421,127,429,888,35,69,16,8,-1,BLUE,RED,RED,RED,RED
NORTH AMERICA,107,76,163,96,888,22,517,28,55,9,114,234,38,429,117,17,35,777,119,7,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,150,104,69,21,888,22,895,16,246,238,103,234,114,222,497,147,30,203,35,119,RED,BLUE,RED,RED,BLUE
NORTH AMERICA,41,107,711,221,350,80,203,235,55,163,114,64,142,134,78,35,429,53,30,11,BLUE,RED,RED,RED,RED
NORTH AMERICA,157,80,142,50,12,38,24,-1,236,429,122,62,127,360,111,9,517,55,114,77,BLUE,RED,RED,RED,BLUE
NORTH AMERICA,114,20,131,119,497,203,517,147,163,246,875,76,777,81,432,238,23,35,429,555,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,518,104,112,22,888,9,119,17,37,11,150,163,3,429,59,895,114,203,-1,35,BLUE,NONE,NONE,BLUE,BLUE
NORTH AMERICA,429,2,112,147,40,221,9,104,29,203,24,163,3,15,111,142,895,74,35,203,RED,RED,BLUE,RED,RED
NORTH AMERICA,875,245,142,895,26,34,-1,2,15,517,113,5,112,67,40,266,555,119,238,35,RED,RED,RED,RED,RED
NORTH AMERICA,41,234,127,119,26,77,-1,517,147,15,150,163,236,895,40,114,555,35,-1,238,BLUE,BLUE,RED,RED,RED
NORTH AMERICA,24,20,89,18,517,41,147,84,203,119,92,131,157,79,235,62,141,9,35,147,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,80,104,234,202,101,112,-1,429,119,41,164,163,150,221,32,-1,157,35,777,55,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,114,77,55,15,111,74,157,141,777,888,24,163,234,147,89,221,429,35,200,350,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,246,76,4,18,555,35,106,147,122,111,887,107,84,119,32,-1,895,350,77,163,BLUE,RED,BLUE,RED,RED
NORTH AMERICA,266,200,50,81,350,114,166,360,555,107,164,28,238,51,80,104,119,120,111,24,RED,RED,BLUE,BLUE,RED
NORTH AMERICA,86,9,50,119,111,120,-1,517,164,104,114,121,238,147,43,350,141,107,30,24,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,78,33,105,81,432,15,122,238,62,119,23,141,112,429,888,119,203,555,24,350,RED,BLUE,RED,RED,RED
NORTH AMERICA,56,131,91,119,111,120,147,86,107,163,887,234,7,81,888,238,104,246,895,555,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,164,104,105,202,497,119,53,30,92,-1,777,64,711,360,117,24,350,114,119,238,RED,BLUE,RED,BLUE,RED
NORTH AMERICA,518,234,127,15,40,17,203,11,55,119,92,62,105,222,432,114,555,107,104,203,RED,RED,BLUE,BLUE,RED
NORTH AMERICA,150,48,517,498,497,119,114,7,141,53,39,154,38,202,16,54,429,516,200,895,BLUE,RED,RED,RED,RED
NORTH AMERICA,517,104,101,18,555,78,-1,-1,119,163,150,120,105,429,888,131,-1,-1,238,350,RED,RED,RED,BLUE,BLUE
NORTH AMERICA,86,76,157,498,111,119,164,203,238,77,54,9,91,22,497,517,-1,84,131,62,BLUE,RED,BLUE,BLUE,RED
NORTH AMERICA,240,20,105,202,111,114,17,203,238,555,6,254,134,895,432,80,888,119,78,350,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,84,141,112,157,111,203,163,221,78,8,67,107,268,81,25,54,147,104,777,119,RED,BLUE,RED,RED,RED
NORTH AMERICA,86,62,105,223,235,238,-1,30,164,555,516,234,38,429,16,238,15,78,141,50,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,157,59,105,15,432,203,119,238,24,154,887,25,246,222,266,238,147,203,41,350,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,887,91,105,236,432,238,119,203,92,555,80,62,268,37,15,119,555,141,200,41,RED,RED,BLUE,RED,BLUE
NORTH AMERICA,92,121,105,895,235,104,238,21,58,119,17,154,18,202,40,147,246,104,80,21,RED,BLUE,BLUE,RED,RED
NORTH AMERICA,266,234,517,15,43,238,555,9,141,147,131,711,36,221,235,114,238,91,11,119,RED,BLUE,BLUE,RED,RED
NORTH AMERICA,41,200,79,115,16,202,147,23,163,92,150,33,238,236,22,104,350,15,141,114,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,24,102,136,22,26,-1,7,266,15,203,14,91,105,523,432,114,555,-1,238,104,RED,RED,RED,RED,BLUE
NORTH AMERICA,86,141,517,74,26,15,203,119,164,777,516,234,38,81,32,114,238,40,119,120,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,166,64,3,145,25,9,350,62,104,24,36,254,84,22,518,163,234,887,119,350,BLUE,RED,BLUE,BLUE,BLUE
NORTH AMERICA,240,163,84,67,555,119,114,147,350,41,56,121,61,81,43,86,9,15,221,119,RED,RED,BLUE,BLUE,BLUE
NORTH AMERICA,78,131,157,236,267,92,114,119,62,112,777,104,518,50,40,38,23,555,114,240,BLUE,BLUE,RED,BLUE,RED
NORTH AMERICA,114,101,51,59,126,90,122,895,53,11,92,238,76,432,157,236,200,25,360,78,BLUE,NONE,NONE,RED,RED
NORTH AMERICA,5,203,3,412,360,200,11,55,25,235,32,62,145,79,157,114,-1,7,51,28,RED,BLUE,RED,BLUE,BLUE
NORTH AMERICA,266,254,34,555,32,200,-1,105,163,150,17,254,103,202,235,42,80,84,54,40,RED,BLUE,BLUE,BLUE,RED
NORTH AMERICA,266,427,517,15,53,350,203,157,-1,62,777,104,134,360,12,7,41,25,200,119,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,266,104,429,134,59,120,523,24,350,200,82,64,246,235,223,26,141,7,517,85,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,67,33,3,147,43,555,350,141,24,40,23,5,7,222,53,-1,711,15,24,350,RED,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,777,200,105,29,412,421,350,888,67,24,875,78,7,221,53,62,119,114,203,104,RED,BLUE,RED,RED,RED
NORTH AMERICA,8,78,134,4,350,203,360,163,55,122,68,141,131,202,235,111,266,15,114,517,BLUE,BLUE,BLUE,BLUE,BLUE
NORTH AMERICA,266,104,517,360,117,888,163,203,350,119,111,234,22,134,122,876,203,15,114,238,RED,RED,RED,RED,RED
NORTH AMERICA,107,99,106,202,350,9,203,119,122,15,74,64,7,429,888,200,711,163,147,111,BLUE,RED,RED,RED,RED
