SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
NORTH_AMERICA,67,141,68,202,432,266,203,119,9,114,23,80,163,15,223,154,54,200,91,203,1,23,11,0,2,0,0,1,0,0,3,2,2,0,0,2,0,0,0
NORTH_AMERICA,41,163,555,221,235,888,266,875,119,37,6,154,68,15,16,429,200,9,895,34,0,21,35,1,0,4,0,1,1,0,4,11,1,0,2,1,0,3,1
NORTH_AMERICA,41,64,7,895,267,887,266,246,163,119,516,5,134,236,497,77,131,114,429,80,1,44,30,1,2,2,0,1,1,0,6,3,0,2,0,2,0,0,0
NORTH_AMERICA,164,120,517,429,12,203,238,350,30,221,518,421,58,360,111,117,114,888,777,163,0,33,15,0,3,0,1,1,1,0,10,2,0,1,0,0,2,0,0
NORTH_AMERICA,78,120,777,21,59,104,107,147,41,246,114,154,134,81,888,245,80,516,203,113,0,38,19,0,3,0,1,0,1,0,9,3,0,1,0,0,1,0,0
NORTH_AMERICA,92,104,7,147,235,122,41,119,555,30,58,234,134,21,43,26,101,142,62,17,1,44,35,0,3,1,1,0,1,1,7,7,0,1,0,2,0,0,0
NORTH_AMERICA,114,78,711,15,43,104,20,24,147,203,777,121,7,37,157,24,9,119,555,350,0,17,7,1,0,2,0,1,0,0,5,0,2,0,0,2,0,0,0
NORTH_AMERICA,24,121,69,523,26,154,15,1,30,80,887,64,517,221,40,1,141,81,7,104,1,3,13,1,0,1,0,1,0,1,0,3,2,0,0,2,0,0,1
NORTH_AMERICA,41,154,517,119,40,555,876,-1,30,67,777,203,84,110,412,-1,7,104,888,78,1,29,14,0,3,0,0,2,0,0,6,4,1,0,1,2,0,0,0
NORTH_AMERICA,24,77,127,236,267,163,246,203,17,28,78,62,7,21,16,246,3,203,122,166,0,30,14,0,2,0,0,2,0,0,9,0,2,0,0,0,3,0,0
NORTH_AMERICA,266,104,517,119,555,163,77,62,84,11,432,106,99,235,875,236,268,107,203,164,1,31,16,1,3,1,0,2,0,0,10,0,2,0,0,0,2,0,0
NORTH_AMERICA,24,28,157,22,147,141,163,17,104,45,92,91,7,110,53,26,246,9,55,17,0,25,39,1,0,5,0,1,1,1,2,9,0,1,1,1,0,2,1
NORTH_AMERICA,166,68,157,29,555,246,55,-1,200,92,24,141,163,15,350,119,203,120,22,240,0,37,36,0,4,1,0,2,0,0,4,10,0,1,1,1,0,3,1
NORTH_AMERICA,266,2,517,221,350,30,114,163,29,157,240,104,3,69,22,142,26,114,111,147,1,18,35,1,0,4,0,1,1,1,1,10,1,0,1,1,0,2,1
NORTH_AMERICA,114,76,777,81,59,147,92,895,9,107,24,104,34,18,888,30,68,15,38,200,1,32,45,1,2,2,0,1,1,0,7,6,1,1,1,0,1,1,1
