SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,FIRST_BLOOD,BCHAMP_KILLS,RCHAMP_KILLS,FIRST_DRAG,BDRAG_KILLS,RDRAG_KILLS,FIRST_HERALD,BHERALD_KILLS,RHERALD_KILLS,FIRST_TOWER,BTOWER_KILLS,RTOWER_KILLS,FIRST_BARON,BBARON_KILLS,RBARON_KILLS,FIRST_INHIB,BINHIB_KILLS,RINHIB_KILLS,WINNER
KOREA,236,78,164,517,53,895,114,15,429,-1,113,60,555,221,25,103,9,895,114,7,0,27,19,1,1,2,0,2,0,0,8,1,2,0,0,0,1,0,0
KOREA,150,163,58,429,888,895,119,711,-1,254,887,64,268,15,350,78,555,895,-1,114,1,30,52,0,1,2,0,1,1,1,3,11,1,1,1,1,0,5,1
KOREA,887,64,268,15,497,246,68,120,119,-1,777,245,91,523,888,429,-1,78,236,163,0,50,49,0,2,3,1,1,1,0,11,4,0,2,1,0,8,0,0
KOREA,14,254,103,15,888,122,-1,-1,119,350,58,80,517,429,22,76,887,221,78,350,1,25,49,1,0,3,1,0,1,1,0,11,1,0,2,1,0,4,1
KOREA,166,254,268,236,267,777,429,62,15,895,98,64,518,523,117,78,887,-1,62,-1,0,33,42,1,1,1,1,1,1,1,1,10,0,1,0,1,0,2,1
KOREA,84,254,163,236,267,429,15,777,895,-1,887,80,78,221,117,-1,30,429,-1,268,0,45,34,0,3,1,0,2,0,0,7,8,1,0,1,0,1,1,1
KOREA,92,60,517,81,432,58,267,-1,104,115,887,80,221,268,111,15,119,246,429,163,0,21,7,2,0,0,0,1,0,0,3,0,2,0,0,2,0,0,0
KOREA,266,48,103,15,350,429,39,119,246,163,23,64,268,523,111,555,91,78,-1,429,1,9,19,1,0,2,1,0,1,1,0,5,2,0,0,2,0,0,1
KOREA,133,234,163,221,555,105,54,107,119,15,58,33,268,236,497,238,887,48,62,429,1,11,27,2,0,0,1,0,2,1,0,9,1,0,1,1,0,1,1
KOREA,85,120,777,15,111,517,888,234,68,119,113,64,7,429,79,887,163,76,555,221,1,25,49,1,0,3,1,0,1,1,1,10,1,0,1,1,0,3,1
KOREA,39,78,68,119,888,107,-1,887,429,91,69,64,516,81,43,887,62,-1,131,-1,0,33,11,0,2,0,1,1,1,0,6,1,2,0,0,0,1,0,0
KOREA,84,78,268,157,44,236,76,-1,-1,895,887,64,103,15,350,119,-1,-1,-1,429,1,18,37,0,2,1,0,1,0,0,3,9,1,0,1,1,0,1,1
KOREA,516,104,13,202,12,221,246,429,107,163,164,76,777,15,111,119,429,-1,163,7,0,31,14,0,3,0,0,2,0,0,9,4,0,1,0,0,1,0,0
KOREA,114,131,777,222,117,78,555,22,7,62,8,64,3,360,111,350,163,-1,429,119,0,21,19,0,3,0,0,2,0,1,8,2,0,1,0,0,1,0,0
KOREA,24,421,517,236,267,-1,119,163,268,429,887,64,105,523,117,114,78,7,350,-1,0,35,18,1,0,2,0,2,0,1,9,2,1,0,1,0,1,0,0
KOREA,23,80,268,523,22,-1,119,114,62,15,887,5,517,429,888,120,-1,-1,-1,350,0,31,19,1,1,1,0,2,0,0,6,2,0,1,0,2,0,0,0
KOREA,68,62,234,115,111,887,268,15,236,350,92,163,39,81,43,76,-1,119,777,58,1,21,33,1,1,1,1,0,2,1,1,6,1,0,1,1,0,1,1
KOREA,24,131,777,29,497,119,39,78,163,429,150,234,517,81,350,421,268,76,221,119,1,37,24,1,2,2,0,2,0,0,10,3,0,1,0,0,2,0,0
KOREA,24,80,163,429,111,67,-1,517,777,-1,79,234,555,119,22,107,7,246,887,517,1,11,21,0,1,0,0,1,0,1,1,2,2,0,0,2,0,0,1
KOREA,119,254,268,113,555,-1,150,163,895,429,887,80,39,81,89,163,-1,68,-1,7,0,31,10,0,1,0,0,2,0,0,5,2,2,0,0,2,0,0,0
KOREA,68,163,777,145,12,133,119,429,-1,58,157,102,7,15,111,350,120,-1,-1,-1,1,29,27,1,2,3,0,1,1,0,8,5,0,2,0,0,1,0,0
KOREA,41,254,711,145,555,429,62,30,268,895,58,5,7,360,53,78,895,268,-1,103,0,33,17,1,1,1,1,1,1,0,8,0,0,1,0,0,1,0,0
KOREA,24,62,103,115,111,-1,163,429,119,15,887,127,234,221,350,32,163,-1,43,-1,0,21,31,1,1,4,0,2,0,0,6,10,0,2,0,0,1,2,1
KOREA,266,59,7,64,235,221,-1,429,39,119,58,25,127,15,497,421,62,-1,429,-1,0,47,16,2,0,0,1,0,1,0,11,1,2,0,0,0,1,0,0
