SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE WEST,84,254,142,81,89,113,16,119,23,200,122,887,103,222,53,15,-1,141,429,350,1
EUROPE WEST,887,64,103,29,16,895,429,119,39,55,166,60,238,15,37,350,62,-1,122,24,1
EUROPE WEST,92,234,7,119,25,429,77,55,-1,114,58,78,517,15,29,-1,84,429,62,157,1
EUROPE WEST,150,131,35,360,888,157,29,114,119,-1,166,234,30,15,37,141,60,113,235,39,1
EUROPE WEST,141,62,7,360,111,163,107,28,78,40,150,200,35,15,16,429,777,-1,101,350,1
EUROPE WEST,150,59,245,15,43,555,119,78,517,7,92,234,105,360,111,76,119,429,58,-1,0
EUROPE WEST,150,64,90,523,44,43,895,888,777,163,68,119,7,234,40,-1,107,62,429,-1,1
EUROPE WEST,516,5,103,15,40,72,114,119,-1,429,887,76,238,145,53,107,895,28,-1,92,1
EUROPE WEST,102,234,127,145,555,119,895,429,131,114,777,78,163,15,37,104,429,-1,84,58,0
EUROPE WEST,126,163,268,429,32,350,35,77,86,119,150,62,517,15,78,887,895,107,119,-1,0
EUROPE WEST,23,234,147,81,432,777,119,114,107,141,164,62,115,163,99,26,39,-1,119,429,0
EUROPE WEST,238,59,516,222,117,24,350,40,163,119,23,62,517,15,37,28,-1,429,350,114,1
EUROPE WEST,122,64,147,119,888,517,39,200,107,30,6,76,163,523,497,-1,107,-1,266,-1,1
EUROPE WEST,23,200,134,81,101,107,119,92,15,517,166,121,163,429,412,24,107,119,39,78,1
EUROPE WEST,24,141,117,221,37,114,429,119,62,27,122,107,7,895,89,350,15,60,119,200,0
EUROPE WEST,67,62,157,147,32,350,119,895,7,42,150,78,163,429,888,39,555,141,76,119,0
EUROPE WEST,141,26,163,221,111,39,78,119,131,429,777,80,268,895,350,84,78,38,421,42,1
EUROPE WEST,84,80,55,15,555,245,107,38,429,268,58,141,127,29,37,429,28,119,78,200,1
EUROPE WEST,887,9,238,15,40,107,517,117,119,163,516,200,127,895,44,114,42,39,350,35,0
EUROPE WEST,92,234,112,166,888,163,350,555,29,221,79,141,45,119,235,111,200,131,76,350,0
EUROPE WEST,875,27,517,163,350,114,421,31,84,777,85,200,39,119,22,114,1,147,887,429,1
EUROPE WEST,221,163,39,75,350,42,84,114,55,887,23,131,157,147,59,141,7,78,111,119,1
EUROPE WEST,39,104,7,15,350,2,98,203,119,114,10,35,157,777,60,245,24,28,111,98,0
EUROPE WEST,79,254,163,157,117,92,-1,78,17,126,150,238,268,236,267,350,78,119,429,107,0
EUROPE WEST,17,78,895,112,147,28,429,200,163,777,119,104,69,7,267,77,350,84,429,107,0
EUROPE WEST,17,200,7,429,888,163,119,157,114,28,113,48,517,81,101,119,268,163,42,104,0
EUROPE WEST,113,234,268,429,888,15,78,119,107,163,17,56,62,523,43,147,28,38,121,42,0
EUROPE WEST,122,131,157,221,117,119,107,30,350,62,68,200,55,236,267,245,711,119,114,111,1
EUROPE WEST,150,62,517,523,117,111,-1,42,350,114,41,421,7,429,555,119,78,163,266,888,0
EUROPE WEST,41,28,777,523,555,111,518,163,157,-1,58,121,711,429,80,350,119,141,122,-1,1
EUROPE WEST,15,234,163,54,497,-1,555,895,888,42,164,20,13,157,79,131,119,103,147,200,1
EUROPE WEST,150,163,157,29,350,-1,77,17,78,555,887,131,517,429,888,84,895,119,141,245,0
EUROPE WEST,80,254,115,157,50,119,79,29,429,7,15,234,517,81,43,895,107,887,555,350,1
EUROPE WEST,2,238,268,81,497,888,119,350,-1,106,80,254,163,15,37,79,141,29,246,-1,0
EUROPE WEST,150,163,166,81,555,119,112,-1,268,429,86,77,61,29,888,895,200,119,107,164,0
EUROPE WEST,41,234,163,222,497,141,166,40,350,84,516,78,13,81,111,166,350,114,421,895,1
EUROPE WEST,79,59,13,429,111,131,119,16,350,777,517,62,84,96,888,166,895,350,421,53,1
EUROPE WEST,240,200,55,81,43,119,166,777,429,67,887,48,84,523,497,62,17,119,350,107,1
EUROPE WEST,245,234,163,21,40,119,887,62,350,888,24,78,268,16,555,55,119,122,84,888,1
